STC,DCArrayOutput_W_,Vmp,Imp,CellTemperature_C_,PlaneOfArrayIrradiance_W_m_2_,Fill Factor,Gamma,Pmp,Voc,Isc,,
1,8965.037,37.09409932,2.551105104,28.938,510.018,2.469376102,0.185544326,94.63094611,43.7895003,5.336425289,,
1,9165.669,37.09779196,2.607937649,28.914,530.407,2.426038637,0.182404697,96.74872833,44.45178276,5.280241611,,
1,4967.167,37.40058844,1.40188188,23.054,291.767,4.451431587,0.179702321,52.43120722,45.69682487,5.10744308,,
1,655.62,36.15170682,0.191427568,14.937,38.34,33.47953796,0.180501652,6.920433333,45.32100356,5.11226346,,
1,4562.606,36.24940792,1.328596627,15.572,271.505,4.730253882,0.17738473,48.16084111,43.84847242,5.195460481,,
1,3469.791,36.61821034,1.000201029,17.969,188.132,6.075848891,0.19468018,36.62557167,42.79907285,5.199445319,,
1,9128.467,36.51173922,2.639042747,32.723,530.573,2.224601613,0.181607508,96.35604056,43.86860486,4.886268982,,
1,8893.079,35.88814464,2.615665713,36.776,524.211,2.468672872,0.179071766,93.87138944,44.78307715,5.174672383,,
1,11455.048,34.89774782,3.464819454,43.213,697.368,2.036606064,0.173386785,120.9143956,45.97256494,5.356564105,,
1,8449.28,36.5522044,2.439985383,32.46,487.223,2.683221012,0.183051384,89.18684444,44.77112874,5.345141428,,
1,5631.57,37.50090516,1.585144405,26.294,315.425,3.767529071,0.188457954,59.44435,42.58835264,5.258675268,,
1,5088.32,37.38043278,1.436849187,27.077,288.178,4.079866668,0.186378018,53.71004444,43.08923794,5.085488408,,
1,2002.312,36.62974984,0.577004092,18.044,109.161,10.88912551,0.193617826,21.13551556,43.56907915,5.282353589,,
1,273.666,35.40994776,0.081578676,10.116,14.21,80.08126247,0.203286183,2.888696667,43.48292867,5.320029792,,
1,1629.656,35.1274608,0.489700196,8.28,86.013,13.10523176,0.199992146,17.20192444,44.16962799,5.103851147,,
1,8846.756,37.40028072,2.496837528,23.052,503.75,2.486263634,0.18537454,93.38242444,44.35127424,5.234873855,,
1,7794.281,37.63553266,2.18604495,24.581,434.779,2.761926165,0.189229393,82.27296611,44.44108913,5.113102811,,
1,5894.551,37.2976561,1.668208329,22.385,323.773,3.819402644,0.192172481,62.22026056,44.87260036,5.295976292,,
1,7183.081,37.35489202,2.029758526,27.243,403.613,3.146692445,0.187856711,75.82141056,44.01308773,5.420811673,,
1,6017.897,37.13287204,1.710674198,28.686,340.458,3.649317634,0.186578803,63.52224611,45.22434657,5.125841951,,
1,7901.289,36.74468326,2.269784023,31.209,453.863,2.753117719,0.183761388,83.402495,43.80987226,5.241213338,,
1,1439.584,36.55205054,0.41572521,17.539,77.267,14.75433011,0.196663632,15.19560889,43.82855993,5.115409453,,
1,1066.615,35.5282661,0.31689455,10.885,55.57,19.06727,0.202604173,11.25871389,44.67155659,4.805584448,,
1,295.742,34.95621462,0.089303752,7.167,15.16,72.14111308,0.205918279,3.121721111,43.24917094,5.207138791,,
1,4469.879,36.04092762,1.309124355,14.217,263.431,4.899303113,0.179105937,47.18205611,44.64769388,5.177405019,,
1,8981.897,37.53213874,2.526072746,23.909,513.677,2.29626787,0.184569122,94.80891278,43.59111033,4.994290317,,
1,12052.324,35.94476512,3.539290774,36.408,715.442,1.783539285,0.177818713,127.2189756,43.65947555,5.197039997,,
1,13339.576,34.07690472,4.132025391,48.548,836.868,1.623221996,0.168254295,140.8066356,44.32169245,5.156852443,,
1,14008.323,33.58362956,4.402908012,51.754,892.478,1.448474707,0.165679862,147.8656317,43.36781707,4.938676697,,
1,14082.581,34.61556858,4.294295088,45.047,866.638,1.533274284,0.171524288,148.6494661,43.41358876,5.249978412,,
1,12473.254,34.9312893,3.769174519,42.995,762.823,1.868330194,0.172598526,131.6621256,45.02062712,5.463902666,,
1,9456.691,35.07868718,2.845620382,42.037,584.283,2.314558695,0.170842943,99.82062722,43.99495537,5.251527107,,
1,5698.057,36.71668074,1.63811532,31.391,350.729,3.932959729,0.171488976,60.14615722,44.55658669,5.309033563,,
1,1413.615,36.47573598,0.409079934,17.043,91.338,15.18279406,0.163365649,14.92149167,43.16259245,5.248756439,,
